,AG: BoP: Financial Account: Other Investment: Currency & Deposits,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits: Claims on Other Entities,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities,AG: BoP: Financial Account: Other Investment: Liabilities: SDRs,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold: Unallocated Gold Accounts,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold: Gold Bullion,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank: Long Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Financial Derivatives,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government: Short Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: General Government","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Central Bank",AG: BoP: Financial Account: Official Reserve Assets: Others: Securities,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Pension Entitlements",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Central Bank: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations,AG: BoP: Financial Account: Other Investment: Other Equity,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government,AG: BoP: Financial Account: Official Reserve Assets: Reserve Position in the IMF,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Short Term,AG: BoP: Financial Account: Other Investment: Trade Credit & Advances,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors,"AG: BoP: Financial Account: Other Investment: Insurance, Pension & Standardized Guarantee Schemes",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations: Short Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits: Claims on Monetary Authorities,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Loans,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors,AG: BoP: Financial Account: Other Investment: Other Accounts Receivable/Payable,AG: BoP: Financial Account: Official Reserve Assets,AG: BoP: Financial Account: Official Reserve Assets: SDRs,AG: BoP: Financial Account: Official Reserve Assets: Others,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits,AG: BoP: Financial Account: Official Reserve Assets: Others: Other Claims,AG: BoP: Net Errors & Omissions,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government,AG: BoP: Current Account: Goods & Services: Debit,AG: BoP: Current Account: Goods & Services: Credit,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Equity,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Entitlements to Nonpension Benefits","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Life Insurance & Annuity Entitlements",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Provision for Calls under Standardized Guarantees",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Claims of Pension Funds","AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Deposit Taking Corporations excl Central Bank",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term","AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term","AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors: Financial Corporations","AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Credit & Loans from the IMF,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank,"AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors: Non Financial Corporations, Households & NPISHs",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Nonlife Insurance Technical Reserves",AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Goods for Processing: Processing Abroad,"AG: BoP: Current Account: Goods, Services & Primary Income",AG: BoP: Current Account: Goods & Services,AG: (DC)BoP: Exceptional Financing
Region,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued
Series ID,369223737,369223757,369223777,369223837,369223857,387806667,409849627,409856167,409861447,409864287,409872217,409888177,409893807,409905347,409908377,409914707,409914787,409920947,409922897,409828807,409838607,409842127,409843657,409847397,409848037,409765467,409766587,409776567,409796047,409811627,409811847,409817277,409821527,387295407,387363377,387534707,387561967,387567847,387637927,387645427,387382367,387788747,396066387,396081537,396140477,396177457,396208347,396249727,396260837,335410701,335410901,335411101,335412001,335412201,335412401,335412601,335413801,335414101,335414501,335414701,335414901,335415101,396152357,396280917,396208677,396253807,396273447,335403201,335403001,409814157,409870357,409886007,409899327,409899547,409837607,409839797,409784987,409794527,409804377,409813987,409823747,387561767,396067087,396110307,396111297,396127717,396196447,396240107,396243137,396263757,396149127,387846657,396166157,396218547,396104677,396139187,409807447,335402701,335402801,369224007
SR Code,SR103791457,SR103791377,SR103791387,SR103791407,SR103791417,SR106261697,SR118983967,SR118983997,SR118984287,SR118984307,SR118984247,SR118984277,SR118984267,SR118984327,SR118984207,SR118984127,SR118984347,SR118984157,SR118984137,SR118984317,SR118984117,SR118984217,SR118984047,SR118984027,SR118984297,SR118984227,SR118984017,SR118984107,SR118984067,SR118983977,SR118984007,SR118984167,SR118984257,SR106261757,SR106261767,SR106261747,SR106261807,SR106261797,SR106261727,SR106261787,SR106261717,SR106261777,SR109729687,SR109729777,SR109729657,SR109729697,SR109729557,SR109729747,SR109729787,SR103791357,SR103791367,SR103791467,SR103791397,SR103791427,SR103791437,SR103791477,SR103791497,SR103791507,SR103791517,SR103791527,SR103791537,SR103791637,SR109729597,SR109729637,SR109729737,SR109729587,SR109729647,SR103791577,SR103791567,SR118984337,SR118984187,SR118984087,SR118984057,SR118983987,SR118984147,SR118984097,SR118984177,SR118984197,SR118984077,SR118984237,SR118984037,SR106261707,SR109729717,SR109729767,SR109729577,SR109729727,SR109729607,SR109729567,SR109729547,SR109729667,SR109729757,SR106261737,SR109729707,SR109729617,SR109729677,SR109729627,SR118982017,SR103791597,SR103791557,SR103791617
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,1977,1977,1977,1977,1977,1977,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,1977,1977,1977,1977,1977,1977,1994,1977,1977,2014,2014,2014,2014,2014,2014,2014,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1993,1993,1977,2014,2014,2014,2014,2014,1977,1977,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,1977,2014,2014,2014,2014,2014,2014,2014,2014,2014,1977,2014,2014,2014,2014,2014,1977,1977,1977
Last Obs. Date,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,1991
Last Update Time,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,24/04/2019,24/04/2019,24/04/2019,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,23/10/2018,24/04/2019,24/04/2019,24/04/2019,25/09/2017
Series remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,17.676331349999995,0.3775171016666665,0.5187622866666667,1.5611111111111111,1.5611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165766325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8717174688888889,0,0.00009932365853658537,0,-0.141245185,-3.4271029291666664,0,0,-1.32556012,1.8345017675000002,10.131244155000001,-1.32556012,-4.6632100825,-0.00298463,27.756554955,4.759104568684209,6.945405962631578,-4.549458018157894,38.33482003947369,9.311296296842107,28.284050058421048,0.5440223097368413,7.500635165365854,0.017024346097560972,7.483511495609756,4.475578585599999,6.035750636799999,1.9759508258536589,-1.44934187,8.8222606675,-0.00298463,-1.44934187,10.1478207875,480.9822169465853,429.2804052034145,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32556012,3.92571324,-4.02760675,-0.27657407249999993,-1.5427763175,-0.6356033325,-20.76986324,0,3.92571324,0,-1.32556012,0.09343445,0,-1.44934187,0,-85.26299594658535,-51.70181174292681,1.8733333333333335
