,Real GDP: YoY: sa: Quarterly,Reserve Bank of Australia: Assets or Liabilities,Real GDP: YoY: sa: Annual,Export Price Index,Export Price Index: Hydrocarbons,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: Exports: % of Goods Exports: Ores & Metals,AF: Exports: High-Income Economies: % of Total Goods Exports,AF: Exports: % of Total Goods Exports: Residual,AF: Exports: % of Total Goods Exports: The Arab World,AF: Exports: Goods by Reporting Economy,AF: Exports: % of Commercial Service Exports: Services: Transport,AF: Exports: % of Commercial Service Exports: Services: Travel,AF: Exports: Commercial Service,AF: Imports: Commercial Service,AF: Exports: Goods,AF: Imports: Goods,AF: Goods Trade: % of GDP,AF: Imports: % of Commercial Service Imports: Services: Travel,AF: Imports: % of Commercial Service Imports: Services: Transport,AF: Imports: High-Income Economies: % of Total Goods Imports,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Outside Region,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: East Asia & Pacific,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Europe & Central Asia,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Latin America & The Caribbean,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Middle East & North Africa,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: South Asia,AF: Imports: Goods by Reporting Economy,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Outside Region,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: East Asia & Pacific,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Europe & Central Asia,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Latin America & The Caribbean,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Middle East & North Africa,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: South Asia,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Sub-Saharan Africa,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region,AF: Export: Cost: Border Compliance,AF: Export: Cost: Documentary Compliance,AF: Exports: Lead Time: Border Compliance,AF: Exports: Lead Time: Documentary Compliance,AF: Exports: Lead Time: Median Case,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Sub-Saharan Africa,AF: Imports: % of Commercial Service Imports: Services: Insurance & Financial,"AF: Exports: % of Commercial Service Exports: Services: Computer, Communication & Other Services","AF: Imports: % of Commercial Service Imports: Services: Computer, Communication & Other Services",AF: Exports: % of Commercial Service Exports: Services: Insurance & Financial,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Chile,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Uruguay,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Trinidad and Tobago,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Suriname,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Lucia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Paraguay,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Panama,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Honduras,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Guyana,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Costa Rica,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bolivia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Argentina,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Uganda,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Togo,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Kitts and Nevis,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Dominica,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Anguilla,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Curacao,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Peru,AF: Trade Balance: Other Countries Not Elsewhere Classified: Cuba,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Brazil,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Zimbabwe,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Greenland,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Nicaragua,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Mexico,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Guatemala,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Colombia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Aruba,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Barbados,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: El Salvador,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Dominican Republic,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Jamaica,"AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Venezuela, Republic Bolivariana de",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Antigua and Barbuda,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Vincent & The Grenadines,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bahamas,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Zambia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Ecuador,AF: (DC)Exports: Lead Time,AF: (DC)Imports: Lead Time,AF: (DC)Exports: Number of Documents,AF: (DC)Imports: % of Goods Imports: Agricultural Raw Materials,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: (Old)Eastern Germany,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Grenada,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Belize,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Netherlands Antilles,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: North Korea,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bermuda
Region,Algeria,Australia,Algeria,Algeria,Algeria,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Daily, ""Everyday""","Annual, ending ""Dec"" of each year","Half-yearly ending ""Jun, Dec""","Half-yearly ending ""Jun, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,%,AUD mn,%,2011=100,2011=100,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,%,%,%,%,USD mn,%,%,USD mn,USD mn,USD mn,USD mn,%,%,%,%,%,%,%,%,%,%,USD mn,%,%,%,%,%,%,%,%,%,USD,USD,Hour,Hour,Day,%,%,%,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,Day,Day,Number,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,National Office of Statistics,Reserve Bank of Australia,National Office of Statistics,National Office of Statistics,National Office of Statistics,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,410281267,1025401 (ADMAAAAB),241496503,410522207,410522197,408940397,408912937,408913447,408911137,408895637,275517502,275559802,275700502,298287002,275720902,335161202,275866002,275788702,275306802,275538402,275055102,274448202,275346802,275326902,275076502,275096402,275114402,275127802,275143602,275162202,275181002,275239102,275259402,275579802,275597402,275609702,275626102,275645002,275663502,275682502,275741202,386840427,386843057,386845687,386848317,266346602,341780102,274993002,275768802,275286902,275476702,407836927,406784267,407054567,407179037,407696447,407692037,407923817,407011067,408020447,407395867,407698567,407151537,407018637,408049067,406791307,406643387,406567377,417797847,407883637,407403037,407457087,407364087,406931357,417797677,406948407,407032767,406741387,406966647,406610677,407695217,407618147,407567717,407537247,407523067,407322747,407375627,406905707,406942007,406991087,264537702,264707202,264517702,274911302,406969677,407203907,407157227,406715007,406642977,407098237
SR Code,SR119090777,SR91438817,SR4134291,SR123593047,SR123593037,SR118659137,SR118659157,SR118659167,SR118659227,SR118659187,SR102952577,SR102952417,SR102952517,SR102952507,SR102952387,SR102952617,SR102952627,SR102952397,SR102967617,SR102952377,SR102967597,SR102947407,SR102967837,SR102967827,SR102967637,SR102967657,SR102967667,SR102967677,SR102967687,SR102967697,SR102967707,SR102967607,SR102967647,SR102952437,SR102952447,SR102952457,SR102952467,SR102952477,SR102952487,SR102952497,SR102952427,SR105951687,SR105951697,SR105951667,SR105951677,SR102947437,SR112709187,SR102967807,SR102952607,SR102967817,SR102952597,SR117703437,SR117703667,SR117703657,SR117703647,SR117703627,SR117703597,SR117703587,SR117703547,SR117703537,SR117703457,SR117703417,SR117703357,SR117703287,SR117703277,SR117703617,SR117703467,SR117703337,SR127562277,SR117703607,SR117703697,SR117703427,SR117703307,SR117703507,SR127562287,SR117703567,SR117703527,SR117703447,SR117703367,SR117703387,SR117703497,SR117703477,SR117703557,SR117703677,SR117703347,SR117703637,SR117703377,SR117703297,SR117703327,SR117703487,SR102947427,SR102947467,SR102947447,SR102967747,SR117703717,SR117703517,SR117703397,SR117703577,SR117703707,SR117703407
Mnemonic,,,DZ.GDP.RL.YOY-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,01/03/2012,01/06/1994,01/12/2000,01/06/2011,01/06/2011,01/12/1960,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/12/1966,01/12/1960,01/12/1960,01/12/1963,01/12/1960,01/12/2008,01/12/1979,01/12/1979,01/12/1979,01/12/1960,01/12/1960,01/12/1960,01/12/1980,01/12/1979,01/12/1964,01/12/1967,01/12/1967,01/12/1973,01/12/1984,01/12/1967,01/12/1964,01/12/1964,01/12/1964,01/12/1963,01/12/1963,01/12/1973,01/12/1982,01/12/1963,01/12/1960,01/12/1973,01/12/1960,01/12/2014,01/12/2014,01/12/2014,01/12/2014,01/12/2007,01/12/1986,01/12/1979,01/12/1979,01/12/1979,01/12/2008,01/03/1992,01/09/1989,01/03/1984,01/03/2006,01/03/2001,01/06/2009,01/03/2015,01/03/2001,01/03/2000,01/09/1985,01/03/1991,01/06/1989,01/03/2001,01/03/1991,01/03/1999,01/03/2002,01/03/2000,01/03/2017,01/06/1982,01/03/2001,01/06/1984,01/03/1983,01/09/1982,01/03/2017,01/03/1988,01/03/1992,01/03/1989,01/06/2013,01/09/1990,01/03/1997,01/03/1985,01/06/1982,01/06/1995,01/03/2000,01/03/1993,01/03/1983,01/03/1992,01/06/1982,01/03/1998,01/12/2005,01/12/2005,01/12/2005,01/12/1962,01/03/1981,01/03/1988,01/09/1985,01/03/2000,01/03/2008,01/06/1982
Last Obs. Date,01/12/2018,03/07/2019,01/12/2018,01/06/2018,01/06/2018,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2016,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2018,01/12/2018,01/12/2018,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2018,01/12/2018,01/12/2018,01/12/2018,01/12/2012,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/03/2019,01/03/2019,01/12/2015,01/12/2011,01/12/2015,01/12/2015,01/03/2019,01/12/2016,01/12/2015,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/09/2017,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/06/2018,01/09/2018,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/12/2016,01/12/2014,01/12/2017,01/12/2016,01/12/2014,01/03/2019,01/03/2019,01/03/2019,01/12/2014,01/12/2014,01/12/2014,01/12/2008,01/06/1990,01/12/2008,01/12/2008,01/12/2002,01/12/2008,01/12/2007
Last Update Time,25/06/2019,05/07/2019,01/07/2019,22/11/2018,22/11/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,19/04/2018,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/04/2019,25/04/2019,25/04/2019,25/04/2019,28/06/2019,28/06/2019,28/06/2019,08/07/2019,08/07/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,19/04/2018,25/01/2019,25/04/2019,28/06/2019,28/06/2019,08/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,01/07/2019,25/01/2019,25/01/2019,30/04/2019,25/01/2019,01/07/2019,01/07/2019,01/07/2019,08/07/2019,08/07/2019,08/07/2019
